% Sessions générées pour bourges_FRF_jpg.txt
%
% Il y a 1122 sessions

@relation visitedSites

@attribute user_ip string
@attribute user_id string
@attribute userAgent string
@attribute /jpeg/vespbecht.jpg {0,1}
@attribute /jpeg/english.jpg {0,1}
@attribute /actu/madagascar/ico_roussettes.jpg {0,1}
@attribute /actu/veste/ico_veste.jpg {0,1}
@attribute /actu/girouette/ico_faitage.jpg {0,1}
@attribute /actu/nouv_espec/ico_microsc.jpg {0,1}
@attribute /actu/veste/veste.jpg {0,1}
@attribute /actu/madagascar/roussettes.jpg {0,1}
@attribute /actu/girouette/faitage.jpg {0,1}
@attribute /jpeg/calcouv.jpg {0,1}
@attribute /jpeg/primitif.jpg {0,1}
@attribute /jpeg/en_vol.jpg {0,1}
@attribute /anglais/actu/spring.jpg {0,1}
@attribute /jpeg/p_rhino.jpg {0,1}
@attribute /jpeg/frise_museum.jpg {0,1}
@attribute /jpeg/vol_bechstein.jpg {0,1}
@attribute /jpeg/pteropus.jpg {0,1}
@attribute /jpeg/desmodus_rotondus.jpg {0,1}
@attribute /jpeg/phyllostomus_discolor.jpg {0,1}
@attribute /jpeg/maison.jpg {0,1}
@attribute /jpeg/ico_euryale.jpg {0,1}
@attribute /jpeg/ico_p_rhino.jpg {0,1}
@attribute /jpeg/ico_grhino.jpg {0,1}
@attribute /jpeg/euryale.jpg {0,1}
@attribute /jpeg/grhino.jpg {0,1}
@attribute /jpeg/ico_pipiscom.jpg {0,1}
@attribute /jpeg/ico_barbastrelle.jpg {0,1}
@attribute /jpeg/ioco_vesporeilles.jpg {0,1}
@attribute /jpeg/ico_vespbecht.jpg {0,1}
@attribute /jpeg/ico_noctleisl.jpg {0,1}
@attribute /jpeg/ico_vespnatterer.jpg {0,1}
@attribute /jpeg/ico_vespmoust.jpg {0,1}
@attribute /jpeg/ico_vespdard.jpg {0,1}
@attribute /jpeg/ico_serotine.jpg {0,1}
@attribute /jpeg/ico_orecom.jpg {0,1}
@attribute /jpeg/ico_gdmurin.jpg {0,1}
@attribute /jpeg/ico_minioptere.jpg {0,1}
@attribute /jpeg/pipisnath.jpg {0,1}
@attribute /jpeg/pipiscom.jpg {0,1}
@attribute /jpeg/vesporeilles.jpg {0,1}
@attribute /jpeg/barbastrelle.jpg {0,1}
@attribute /jpeg/vespmoust.jpg {0,1}
@attribute /jpeg/orecom.jpg {0,1}
@attribute /jpeg/oreigris.jpg {0,1}
@attribute /jpeg/minioptere.jpg {0,1}
@attribute /jpeg/gdmurin.jpg {0,1}
@attribute /jpeg/serotine.jpg {0,1}
@attribute /jpeg/frise_conseils.jpg {0,1}
@attribute /jpeg/grenier.jpg {0,1}
@attribute /jpeg/grille.jpg {0,1}
@attribute /jpeg/frise_collec.jpg {0,1}
@attribute /jpeg/frise_etudes.jpg {0,1}
@attribute /jpeg/etudes.jpg {0,1}
@attribute /jpeg/tuyau.jpg {0,1}
@attribute /jpeg/frise_ailleurs.jpg {0,1}
@attribute /jpeg/frise_boutique.jpg {0,1}
@attribute /jpeg/peluche.jpg {0,1}
@attribute /jpeg/video.jpg {0,1}
@attribute /jpeg/livre.jpg {0,1}
@attribute /jpeg/frise_pedago.jpg {0,1}
@attribute /jpeg/noctleisl.jpg {0,1}
@attribute /jpeg/noct_com.jpg {0,1}
@attribute /jpeg/vespnatterer.jpg {0,1}
@attribute /jpeg/frise_rendez.jpg {0,1}
@attribute /jpeg/frise_publi.jpg {0,1}
@attribute /jpeg/oreilles.jpg {0,1}
@attribute /jpeg/gravure.jpg {0,1}
@attribute /jpeg/vespdard.jpg {0,1}
@attribute /actu/aout/ico_aout.jpg {0,1}
@attribute /actu/petits/ico_petits.jpg {0,1}
@attribute /anglais/actu/ico_vol_gb.jpg {0,1}
@attribute /actu/oiso/ico_noctule.jpg {0,1}

@data

c-24-1-196-124.client.comcast.net, -, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; .NET CLR 1.1.4322; .NET CLR 1.0.3705), 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
d80-170-225-198.cust.tele2.fr, -, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; FunWebProducts), 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
amontpellier-251-1-33-119.w83-113.abo.wanadoo.fr, -, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; MyIE2), 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dyn-83-155-255-247.ppp.tiscali.fr, -, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0), 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
mix-orleans-106-36.w193-248.abo.wanadoo.fr, -, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
alyon-210-1-19-95.w81-248.abo.wanadoo.fr, -, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; Wanadoo 5.6; Wanadoo 6.0; Wanadoo 6.1; .NET CLR 1.1.4322), 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cache-dtc-ac03.proxy.aol.com, -, Mozilla/4.0 (compatible; MSIE 6.0; AOL 9.0; Windows NT 5.1; .NET CLR 1.1.4322), 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cache-dtc-ac19.proxy.aol.com, -, Mozilla/4.0 (compatible; MSIE 6.0; AOL 9.0; Windows NT 5.1; .NET CLR 1.1.4322), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cache-dtc-ae14.proxy.aol.com, -, Mozilla/4.0 (compatible; MSIE 6.0; AOL 9.0; Windows NT 5.1; .NET CLR 1.1.4322), 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cache-dtc-ab10.proxy.aol.com, -, Mozilla/4.0 (compatible; MSIE 6.0; AOL 9.0; Windows NT 5.1; .NET CLR 1.1.4322), 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
